Unnamed: 0,image,discriminator_score,race,hair_length,red_mean,green_mean,blue_mean,luminance
281,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/9_cropped.png,143.3497772216797,white,long,162.48177,139.13942,129.6761,0.56243414
282,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/326_cropped.png,171.15687561035156,white,long,105.682465,91.642654,90.78818,0.3708504
283,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/871_cropped.png,173.1869354248047,white,long,167.82346,109.551735,101.269066,0.4758693
284,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/826_cropped.png,136.342529296875,white,long,123.79222,107.31517,90.76363,0.42990136
285,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/350_cropped.png,149.05477905273438,white,long,168.7751,132.00389,123.79423,0.5460062
286,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/859_cropped.png,160.69078063964844,white,long,128.11496,110.667915,95.46369,0.4442397
287,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/708_cropped.png,177.15618896484375,white,long,169.5729,142.3231,125.109825,0.5759848
288,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/526_cropped.png,161.72702026367188,white,long,218.52956,203.95638,196.64964,0.80991507
289,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/87_cropped.png,59.68661117553711,white,long,82.69334,82.69334,82.69334,0.32428762
290,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/317_cropped.png,126.7051010131836,white,long,108.18694,76.81955,49.261425,0.31961432
291,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/180_cropped.png,167.95225524902344,white,long,137.62727,118.24138,122.027374,0.48093113
292,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/117_cropped.png,150.0414276123047,white,long,122.20368,110.138626,102.19255,0.43972957
293,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/756_cropped.png,152.8941192626953,white,long,164.60489,159.66112,155.82416,0.6291594
294,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/496_cropped.png,114.4101333618164,white,long,99.073296,99.07329,99.073326,0.38852277
295,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/344_cropped.png,140.41905212402344,white,long,103.83003,82.87157,77.31014,0.340892
296,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/510_cropped.png,153.8986358642578,white,long,140.4829,122.80464,116.45528,0.49453366
297,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/200_cropped.png,175.2183074951172,white,long,162.41142,155.65923,163.662,0.6183246
298,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/420_cropped.png,136.64491271972656,white,long,142.227,137.8656,139.68358,0.54480135
299,images/AtypicalFaces/rbg_images/WomenFacesCropped/WhiteWomenLongHairCropped/441_cropped.png,162.5864715576172,white,long,121.51625,116.2459,105.485634,0.45721644
