image.num,stim.race,stim.gen,hair_length,stim.num,discriminator_score,red_mean,green_mean,blue_mean,luminance,Skintone.1,Race.1,RaceTextbox.1,Afrocentric.1,Eurocentric.1,Asiocentric.1,Masculinity.1,Femininity.1,Hair.1,Skintone.2,Race.2,RaceTextbox.2,Afrocentric.2,Eurocentric.2,Asiocentric.2,Masculinity.2,Femininity.2,Hair.2,Skintone.3,Race.3,RaceTextbox.3,Afrocentric.3,Eurocentric.3,Asiocentric.3,Masculinity.3,Femininity.3,Hair.3,Skintone.4,Race.4,RaceTextbox.4,Afrocentric.4,Eurocentric.4,Asiocentric.4,Masculinity.4,Femininity.4,Hair.4,Skintone.5,Race.5,RaceTextbox.5,Afrocentric.5,Eurocentric.5,Asiocentric.5,Masculinity.5,Femininity.5,Hair.5,Skintone.6,Race.6,RaceTextbox.6,Afrocentric.6,Eurocentric.6,Asiocentric.6,Masculinity.6,Femininity.6,Hair.6,Skintone.7,Race.7,RaceTextbox.7,Afrocentric.7,Eurocentric.7,Asiocentric.7,Masculinity.7,Femininity.7,Hair.7,Skintone.8,Race.8,RaceTextbox.8,Afrocentric.8,Eurocentric.8,Asiocentric.8,Masculinity.8,Femininity.8,Hair.8,Skintone.9,Race.9,RaceTextbox.9,Afrocentric.9,Eurocentric.9,Asiocentric.9,Masculinity.9,Femininity.9,Hair.9,Skintone.10,Race.10,RaceTextbox.10,Afrocentric.10,Eurocentric.10,Asiocentric.10,Masculinity.10,Femininity.10,Hair.10,Skintone.11,Race.11,RaceTextbox.11,Afrocentric.11,Eurocentric.11,Asiocentric.11,Masculinity.11,Femininity.11,Hair.11,Skintone.12,Race.12,RaceTextbox.12,Afrocentric.12,Eurocentric.12,Asiocentric.12,Masculinity.12,Femininity.12,Hair.12,Skintone.13,Race.13,RaceTextbox.13,Afrocentric.13,Eurocentric.13,Asiocentric.13,Masculinity.13,Femininity.13,Hair.13,Skintone.14,Race.14,RaceTextbox.14,Afrocentric.14,Eurocentric.14,Asiocentric.14,Masculinity.14,Femininity.14,Hair.14,Skintone.15,Race.15,RaceTextbox.15,Afrocentric.15,Eurocentric.15,Asiocentric.15,Masculinity.15,Femininity.15,Hair.15,Skintone.16,Race.16,RaceTextbox.16,Afrocentric.16,Eurocentric.16,Asiocentric.16,Masculinity.16,Femininity.16,Hair.16
138,a,m,short,42.png,160.7155609,159.91109,151.43382,137.8265,0.5970771,5,Black,,1,1,6,6,1,2,3,Asian,,1,1,6,4,2,1,1,Asian,,1,1,7,7,1,1,5,Native Hawaiian or Other Pacific Islander,,1,1,7,7,1,1,2,Asian,,1,1,6,6,2,2,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
139,a,m,short,43.png,167.1401062,133.27864,110.54385,101.44086,0.44988993,2,Asian,,1,2,7,7,1,1,1,Asian,,1,3,7,6,1,2,1,Asian,,1,1,7,5,2,2,2,Asian,,2,4,4,5,2,3,1,Asian,,1,3,7,2,4,2,4,American Indian or Alaska Native,,1,2,7,5,3,1,2,Asian,,1,1,6,5,2,2,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
140,a,m,short,44.png,72.94338226,45.304813,33.011623,34.08014,0.14001232,3,Asian,,1,2,7,5,1,3,3,Asian,,1,1,7,7,1,2,1,White,,1,7,1,7,1,1,3,Asian,,1,1,7,7,1,3,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
141,a,m,short,45.png,156.4099426,142.46019,117.37752,114.65883,0.4804536,3,Black,,5,1,1,1,3,1,4,Asian,,1,1,7,7,1,1,3,Asian,,1,3,5,1,5,1,1,Asian,,1,1,7,7,1,1,4,Asian,,1,3,6,4,3,1,3,Asian,,2,1,6,4,2,1,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
142,a,m,short,46.png,194.2049255,209.01901,189.03407,180.17699,0.7554709,3,Native Hawaiian or Other Pacific Islander,,1,2,2,3,2,1,4,Native Hawaiian or Other Pacific Islander,,1,3,6,5,3,2,4,American Indian or Alaska Native,,2,2,6,7,1,2,1,Asian,,1,2,7,7,1,1,3,Asian,,1,1,6,6,1,2,3,Asian,,1,1,7,4,3,1,2,Asian,,2,1,4,7,1,1,1,Asian,,1,1,7,7,1,1,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
143,a,m,short,47.png,146.197525,142.88037,123.47296,108.90281,0.4962699,3,Asian,,1,1,NA,6,1,1,3,Asian,,2,2,6,5,3,2,4,Asian,,1,1,7,6,1,1,5,Asian,,1,3,7,6,1,2,5,Asian,,2,1,6,7,1,2,3,Native Hawaiian or Other Pacific Islander,,1,1,5,7,1,1,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
144,a,m,short,48.png,136.0263824,136.31203,85.79566,69.93782,0.37409648,2,Asian,,1,1,7,7,1,2,3,Asian,,1,1,6,4,1,3,2,Asian,,1,1,4,7,1,1,1,Asian,,1,1,7,7,1,2,3,Asian,,1,1,7,6,1,2,3,Asian,,1,2,6,4,3,3,3,Asian,,1,1,7,6,2,2,6,American Indian or Alaska Native,,4,5,4,4,5,4,2,Asian,,1,2,7,5,2,2,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
145,a,m,short,49.png,184.3781281,181.5897,173.7939,174.10634,0.6881348,1,Asian,,1,1,7,6,1,1,1,Asian,,1,1,7,6,1,1,2,Asian,,1,2,7,6,1,1,1,Asian,,1,1,7,7,1,1,3,Asian,,1,1,7,7,1,1,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
146,a,m,short,5.png,164.3883972,139.42804,125.465996,129.28973,0.5047501,3,Asian,,1,2,5,4,3,1,3,Asian,,2,3,7,6,2,2,2,Asian,,1,1,7,7,1,2,5,Asian,,1,1,7,7,2,1,2,Asian,,1,1,7,NA,1,2,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
147,a,m,short,50.png,168.6107788,133.04071,114.73,103.795685,0.46209818,2,Asian,,1,2,7,2,6,1,3,Asian,,2,1,6,4,4,3,3,Asian,,1,5,7,2,6,3,3,Asian,,1,1,7,6,1,4,2,Asian,,1,1,6,3,3,3,3,Asian,,1,1,4,4,2,2,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
148,a,m,short,51.png,166.6509705,156.72975,125.6157,108.56376,0.51373386,4,Asian,,1,1,7,6,1,1,3,Asian,,1,1,7,7,1,2,3,Asian,,1,1,7,7,1,1,3,Asian,,1,1,7,6,1,1,3,Asian,,1,1,7,7,1,2,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
149,a,m,short,52.png,141.1966705,158.53375,71.32802,50.462322,0.3465423,3,Asian,,1,NA,6,6,1,2,1,Asian,,1,4,7,3,6,2,4,Asian,,1,1,2,5,2,1,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
150,a,m,short,53.png,148.6741028,183.99464,166.33229,154.54181,0.66367704,4,Asian,,1,1,7,5,1,1,4,Asian,,1,1,7,6,1,1,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
151,a,m,short,54.png,55.30627823,79.02482,74.858734,68.391785,0.29520798,1,Asian,,1,1,7,7,1,1,6,Asian,,1,1,6,6,2,1,3,Asian,,1,1,7,6,1,NA,1,Asian,,1,2,7,6,1,1,2,American Indian or Alaska Native,,1,1,6,7,1,1,2,Asian,,1,1,7,7,1,1,2,Asian,,1,3,4,7,1,2,2,Asian,,1,1,7,6,2,2,2,Asian,,1,1,7,6,1,3,2,Asian,,3,2,6,7,1,1,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
152,a,m,short,55.png,179.8124084,193.55821,159.32126,139.59807,0.64776105,1,Asian,,1,4,6,5,3,1,2,Asian,,2,5,7,4,2,2,2,White,,1,6,3,7,1,2,1,Asian,,1,3,6,7,1,3,1,American Indian or Alaska Native,,1,2,3,6,1,1,2,Asian,,1,2,6,6,2,2,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
153,a,m,short,56.png,125.1183548,153.12051,148.06435,145.49623,0.5841347,4,Asian,,1,1,7,5,2,3,5,Native Hawaiian or Other Pacific Islander,,1,1,3,7,1,2,4,Asian,,2,2,6,5,2,3,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
154,a,m,short,57.png,157.7765503,137.19142,109.17971,99.29096,0.44871897,1,Asian,,1,1,7,4,4,1,2,Asian,,2,3,6,5,2,1,2,Asian,,1,2,6,5,2,1,2,Asian,,1,5,6,6,1,1,1,White,,1,6,1,5,1,1,2,White,,1,7,1,7,1,1,2,Native Hawaiian or Other Pacific Islander,,2,4,4,5,1,2,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
155,a,m,short,58.png,131.3955688,160.06244,151.78105,146.51764,0.60063696,3,Asian,,2,2,7,7,2,2,2,Asian,,1,1,7,7,1,2,3,Asian,,1,2,6,7,1,3,2,Asian,,2,2,7,6,2,2,1,Asian,,1,1,5,7,1,1,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
156,a,m,short,59.png,128.4566193,140.59216,133.95343,131.57297,0.5301706,3,Asian,,1,1,6,6,1,4,3,Asian,,1,4,4,5,2,4,2,Asian,,1,1,5,5,2,2,3,Asian,,2,3,7,5,2,4,3,Asian,,1,3,5,5,3,2,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
157,a,m,short,6.png,177.9242096,147.89877,124.12998,111.83349,0.50312746,3,Asian,,1,1,6,4,3,1,3,Asian,,1,1,7,7,1,1,4,Asian,,1,1,7,7,1,1,2,Asian,,1,1,7,6,1,1,2,Asian,,1,1,7,7,1,1,3,Asian,Asian,1,1,7,7,1,1,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
158,a,m,short,60.png,148.0990448,151.17712,127.67972,103.3212,0.5134079,3,Asian,,1,1,3,5,3,1,4,Asian,,1,1,7,7,1,1,6,Asian,,1,1,7,5,3,1,2,Asian,,1,2,7,4,3,3,2,Asian,,1,1,7,5,1,1,3,Native Hawaiian or Other Pacific Islander,,2,2,6,4,2,1,2,Asian,,1,2,7,2,7,1,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
159,a,m,short,61.png,183.7322845,121.24582,108.71242,99.08221,0.43405065,5,White,,1,4,1,6,1,1,3,Asian,,1,3,6,6,2,2,3,Asian,,1,5,3,7,1,3,5,Asian,,1,1,7,6,3,1,4,Asian,,2,2,7,6,2,2,2,Asian,,1,1,7,7,1,2,4,Asian,,2,2,5,6,2,2,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
160,a,m,short,62.png,153.5064087,196.54259,186.07274,177.91316,0.7361196,2,Asian,,4,2,4,6,1,1,1,White,,1,7,1,4,1,1,1,Asian,,1,4,7,7,1,1,2,Asian,,2,4,5,5,3,2,3,Asian,,1,3,7,4,1,2,1,Asian,,1,4,4,7,1,1,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
161,a,m,short,63.png,137.9535828,91.56545,95.289536,94.03359,0.37022313,3,Asian,,1,1,7,5,2,1,2,Asian,,1,1,6,6,1,3,2,Asian,,1,1,7,7,1,1,1,Asian,,1,1,6,7,1,2,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
162,a,m,short,64.png,176.6940613,177.3076,163.00044,154.47655,0.6487372,2,Asian,,1,3,6,7,1,2,1,Asian,,1,4,3,6,1,1,2,Asian,,1,2,6,5,3,2,1,Asian,,1,1,7,5,3,1,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
163,a,m,short,65.png,165.0549622,128.9704,114.79301,100.14416,0.45784682,2,Asian,,1,1,7,6,1,1,2,Asian,,1,2,6,7,1,1,1,Asian,,1,4,6,7,1,1,1,Asian,,1,2,6,6,1,2,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
164,a,m,short,66.png,126.211647,115.87873,97.73912,93.60818,0.39725,2,White,,1,6,2,6,2,2,3,Asian,,1,5,3,6,2,1,1,White,,1,7,1,7,1,1,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
165,a,m,short,67.png,163.9961548,169.4944,146.44525,131.74944,0.58935905,4,Native Hawaiian or Other Pacific Islander,,3,1,6,7,1,2,3,Native Hawaiian or Other Pacific Islander,,1,3,5,5,2,1,4,Asian,,1,1,7,7,1,1,3,Asian,,3,2,7,6,2,1,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
166,a,m,short,68.png,179.2141724,173.59814,159.27292,144.23276,0.63229036,4,Asian,,1,1,7,6,2,2,2,Asian,,2,2,7,6,2,2,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
167,a,m,short,69.png,134.4575348,152.4381,138.5951,135.15247,0.5540809,1,Asian,,1,1,7,3,3,1,2,Asian,,1,1,6,6,2,2,3,American Indian or Alaska Native,,5,5,2,4,5,2,3,Asian,,1,2,6,4,2,2,3,Asian,,1,1,7,7,1,2,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
168,a,m,short,7.png,156.4099426,142.46019,117.37752,114.65883,0.4804536,2,Asian,,1,1,7,7,1,1,2,Asian,,1,2,6,5,1,1,1,White,,1,7,1,3,3,1,1,White,,1,7,1,7,2,1,3,Asian,,2,1,6,6,2,2,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
169,a,m,short,70.png,157.1582489,185.5313,178.02898,170.96074,0.70240945,2,Asian,,1,2,7,6,2,3,2,Asian,,1,1,4,4,2,2,3,Asian,,1,1,4,4,1,3,2,American Indian or Alaska Native,,1,1,4,6,1,1,4,Asian,,1,4,7,6,1,3,1,Asian,,1,1,7,7,1,1,3,Asian,,1,1,7,6,1,3,6,American Indian or Alaska Native,,1,1,1,7,1,2,2,Asian,,1,2,7,7,1,2,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
